"","cpid","livelihood.strategies","livelihood.category","incomeid","variable","value"
"5041","DEVAS","Tilli","AGRICULTURE",104,"14",1
"5042","DEVAS","groundnut","AGRICULTURE",105,"14",1
"5043","DEVAS","chillies","AGRICULTURE",106,"14",1
"5044","DEVAS","jowar","AGRICULTURE",107,"14",1
"5045","DEVAS","maize","AGRICULTURE",108,"14",1
"5046","DEVAS","cotton","AGRICULTURE",109,"14",1
"5047","DEVAS","Soyabean","AGRICULTURE",110,"14",1
"5048","DEVAS","onion","AGRICULTURE",111,"14",1
"5049","DEVAS","potato","AGRICULTURE",112,"14",1
"5050","DEVAS","vegetable sale(garlic,gobi,batla,bitter gourd,balr,coriander,gawarfali,tumadi,chavlafali,fenugreek,raddish,carrot,spinach,tomato,surjnafali,giki,okra)","AGRICULTURE",113,"14",1
"5051","DEVAS"," goat ","SHEEP/GOAT REARING",301,"14",1
"5053","DEVAS","Dairy milk (from cow and buffalo) ","DAIRY CATTLE",401,"14",1
"5054","DEVAS","hen ","OTHER LIVESTOCKS",501,"14",1
"5055","DEVAS","bullocks","OTHER LIVESTOCKS",502,"14",1
"5058","DEVAS","bamboo products (tokani and tat)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"14",1
"5060","DEVAS","Mahua (liquor)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",703,"14",1
"5062","DEVAS","Rassi Banana(rope making)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",705,"14",1
"5064","DEVAS","Gobar khad (sale of cowdung )","HOME PRODUCTION(SMALL-SCALE PROCESSING)",707,"14",1
"5065","DEVAS","Consumer goods (grocery store,flour mill)","TRADE/BUSINESS/SERVICES",801,"14",1
"5067","DEVAS","Kamkaji Lakadi (sale of small timber)","TRADE/BUSINESS/SERVICES",803,"14",1
"5068","DEVAS","construction contractor","TRADE/BUSINESS/SERVICES",804,"14",1
"5075","DEVAS","Mahua fruit","NTFP COLLECTION",904,"14",1
"5076","DEVAS","Government Salaried job(Choukidar,Aanganwadi Teacher,Forest Guard,M.P. police,School Teacher,Army,Patwari ","SALARIED JOB",1001,"14",1
"5077","DEVAS","Private salaried job(doctor, truck driver)","SALARIED JOB",1002,"14",1
"5079","DEVAS","Social Security Pension(widow pension,old age pension)","PENSION / REMITTANCES",1101,"14",1
"5080","DEVAS","local agricultural labor (Hal chalana, bakhakhar chalana, kud-kachra saaf karna, buwai karna, nindai karna, dore chalana, dawai chhidkaw,pani chalana,faslo ki katai,kapas ki bunai, udhara(group agri labor))","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"14",1
"5081","DEVAS","Bandhua mazdoor(bonded labor)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"14",1
"5082","DEVAS","local unskilled labor(saja-munafa,podha ropan, med bandi,Tendu-Patta)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"14",1
"5083","DEVAS","local skilled labor(  carpenter,mistri, woodcutter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1204,"14",1
"5086","DEVAS","migratory unskilled labor (labor in company)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"14",1
"5088","KHANDWA","Maize","AGRICULTURE",102,"14",1
"5090","KHANDWA"," Wheat ","AGRICULTURE",104,"14",1
"5091","KHANDWA"," Pulses ( Chana,Chawala, Masoor, Mung,Tuwar, Urad)","AGRICULTURE",105,"14",1
"5092","KHANDWA"," vegetable(ballar, brinjal, okra,giki,pumpkin,fenugreek,spinach,tomato,chillies,bottlegourd,raddish,carrot)","AGRICULTURE",106,"14",1
"5093","KHANDWA"," Cotton","AGRICULTURE",107,"14",1
"5095","KHANDWA"," Soyabean ","AGRICULTURE",109,"14",1
"5096","KHANDWA","Sugarcane","AGRICULTURE",110,"14",1
"5098","KHANDWA"," banana","TREE BASED LIVELIHOOD",201,"14",1
"5099","KHANDWA"," Mahuwa flower","TREE BASED LIVELIHOOD",202,"14",1
"5100","KHANDWA"," goat","SHEEP/GOAT REARING",301,"14",1
"5101","KHANDWA","Dairy (cow milk,buffalo milk)","DAIRY CATTLE",401,"14",1
"5102","KHANDWA"," bullocks","OTHER LIVESTOCKS",501,"14",1
"5103","KHANDWA"," hen","OTHER LIVESTOCKS",502,"14",1
"5106","KHANDWA","mahua liquor","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"14",1
"5108","KHANDWA","Consumer goods (cloth shop,flourmill,grocery store(kirana shop),fertilizer shop  ,multi hardware shop,medical shop,pesticide shop,xerox shop,electronic shop, petrol pump)","TRADE/BUSINESS/SERVICES",801,"14",1
"5112","KHANDWA","stitching ","TRADE/BUSINESS/SERVICES",805,"14",1
"5124","KHANDWA","Government Salaried job(ASHA worker,Rojgar Sahayak,Post men, Police (Constable ),Teacher ( primary School,middle school,secondary school),Panchayat Sachiv,Army personnel,Forest Guard,Aganwadi Worker,peon in collectorate, siksha karmi,Govt . Peon,govt water supplyer,Peon  in Govt . Agriculture  dept)","SALARIED JOB",1001,"14",1
"5125","KHANDWA","Private salaried job (Bus Conductor ,Development officer in NGO,Paraworker,private school teacher,driver )","SALARIED JOB",1002,"14",1
"5126","KHANDWA","Govt./Private retirement pension ","SALARIED JOB",1003,"14",1
"5127","KHANDWA","social securty pension (Handicap, widow, Old age ) ","PENSION / REMITTANCES",1101,"14",1
"5128","KHANDWA","local agriculture labor (sugarcane,soyabean and wheat harvesting)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"14",1
"5129","KHANDWA","local skilled labor (Mason, Carpenter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"14",1
"5130","KHANDWA","local unskilled labor (NREGA labor,labor for collecting tendu leaves)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"14",1
"5131","KHANDWA","migration for agriculture labor( wheat,soyabean and sugarcane harvesting)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1301,"14",1
"5133","KHANDWA","migration for unskilled labor(construction site,Labor in private Company)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"14",1
"5134","MAHBUBNAGAR","rice ","AGRICULTURE",101,"14",1
"5135","MAHBUBNAGAR","sorghum","AGRICULTURE",102,"14",1
"5137","MAHBUBNAGAR","pulses(blackgram,greengram,redgram,bengalgram,horsegram)","AGRICULTURE",104,"14",1
"5138","MAHBUBNAGAR","ground nut","AGRICULTURE",105,"14",1
"5140","MAHBUBNAGAR","sun flower","AGRICULTURE",107,"14",1
"5143","MAHBUBNAGAR","sajja(type of sorghum)","AGRICULTURE",110,"14",1
"5145","MAHBUBNAGAR","vegetable(tomato,brinjal,onion,okra,chilli,bittergourd,sorakaya(type of brinjal),keera,beera(type of bitter gourd),potato,fenugreek,spinach and coriander)","AGRICULTURE",112,"14",1
"5146","MAHBUBNAGAR","guava","TREE BASED LIVELIHOOD",201,"14",1
"5148","MAHBUBNAGAR","orange orchard  (owner)","TREE BASED LIVELIHOOD",203,"14",1
"5149","MAHBUBNAGAR","custerd apple","TREE BASED LIVELIHOOD",204,"14",1
"5151","MAHBUBNAGAR","mango orchard  (owner)","TREE BASED LIVELIHOOD",206,"14",1
"5152","MAHBUBNAGAR","lemon","TREE BASED LIVELIHOOD",207,"14",1
"5154","MAHBUBNAGAR","goat for meat","SHEEP/GOAT REARING",301,"14",1
"5155","MAHBUBNAGAR","sheep for meat","SHEEP/GOAT REARING",302,"14",1
"5156","MAHBUBNAGAR","cow for milk","DAIRY CATTLE",401,"14",1
"5157","MAHBUBNAGAR","bullocks","DAIRY CATTLE",402,"14",1
"5158","MAHBUBNAGAR","hen for meat","OTHER LIVESTOCKS",501,"14",1
"5159","MAHBUBNAGAR","bullocks for agriculture","OTHER LIVESTOCKS",502,"14",1
"5162","MAHBUBNAGAR","kallu(local drink)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"14",1
"5164","MAHBUBNAGAR","consumer goods(stationary shop,cloth shop,selling fertilizer,grocery shop)","TRADE/BUSINESS/SERVICES",801,"14",1
"5166","MAHBUBNAGAR","mechannical business(cycle repair shop,motor cycle repair shop)  ","TRADE/BUSINESS/SERVICES",803,"14",1
"5167","MAHBUBNAGAR","tailor shop","TRADE/BUSINESS/SERVICES",804,"14",1
"5168","MAHBUBNAGAR","private transport business(auto,tractor,lorry(owner))","TRADE/BUSINESS/SERVICES",805,"14",1
"5169","MAHBUBNAGAR","mobile shop(recharge & repair)","TRADE/BUSINESS/SERVICES",806,"14",1
"5171","MAHBUBNAGAR","fire wood","NTFP COLLECTION",901,"14",1
"5172","MAHBUBNAGAR","govt.salaried job(teacher,police(s.i),conistable,village revenue officer,vatenary doctor,home guard,bank manager,sarpanch)","SALARIED JOB",1001,"14",1
"5173","MAHBUBNAGAR","private salaried job(watchman,teacher,mechanic worker,sales man)","SALARIED JOB",1002,"14",1
"5177","MAHBUBNAGAR","social secretary pension(old age pension,widow pension,disabled penson)","PENSION / REMITTANCES",1101,"14",1
"5178","MAHBUBNAGAR","local agriculture labor","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"14",1
"5179","MAHBUBNAGAR","local skilled labor(centering worker,mistri,carpenter,welder)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"14",1
"5180","MAHBUBNAGAR","local unskilled labor(construction labor)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"14",1
"5182","MAHBUBNAGAR","migratory skilled labor(mistri, dry cleanerwork in mumbai city)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1302,"14",1
"5185","MALKANGIRI","Paddy","AGRICULTURE",102,"14",1
"5186","MALKANGIRI","Ragi(millet)","AGRICULTURE",103,"14",1
"5187","MALKANGIRI","sua(fox tail millet)","AGRICULTURE",104,"14",1
"5188","MALKANGIRI","Alsi","AGRICULTURE",105,"14",1
"5189","MALKANGIRI","Vegetable(Ash gourd, banglore baigano,beans,bitter gourd,bottle gourd,brinjal,butter beans,cabbage,cauliflower,chillies,dhonia,drumsticks,evy gourd,garlic,ginger,kidney beans,lady's finger,pumpkin,raddish,ridge gourd,snake gourd,kohlrabi,spinach,sweet root,tomato , tumeric)","AGRICULTURE",106,"14",1
"5190","MALKANGIRI","pulses (black gram,boroboti,dongor rani, green gram, horse gram, jhudungo, pigeon pea)","AGRICULTURE",107,"14",1
"5193","MALKANGIRI","onion","AGRICULTURE",110,"14",1
"5195","MALKANGIRI","seasame","AGRICULTURE",112,"14",1
"5197","MALKANGIRI","Sweet corn","AGRICULTURE",114,"14",1
"5199","MALKANGIRI","papaya","TREE BASED LIVELIHOOD",202,"14",1
"5200","MALKANGIRI","mahua fruit","TREE BASED LIVELIHOOD",203,"14",1
"5201","MALKANGIRI","mango","TREE BASED LIVELIHOOD",204,"14",1
"5202","MALKANGIRI","Tamarind","TREE BASED LIVELIHOOD",205,"14",1
"5203","MALKANGIRI","Mahua Flower","TREE BASED LIVELIHOOD",206,"14",1
"5204","MALKANGIRI","Goat for meat","SHEEP/GOAT REARING",301,"14",1
"5205","MALKANGIRI","Sheep for meat","SHEEP/GOAT REARING",302,"14",1
"5207","MALKANGIRI","Bullocks for agriculture","OTHER LIVESTOCKS",502,"14",1
"5208","MALKANGIRI","Cow for agriculture","OTHER LIVESTOCKS",503,"14",1
"5209","MALKANGIRI","Duck for meat","OTHER LIVESTOCKS",504,"14",1
"5211","MALKANGIRI","hen for meat","OTHER LIVESTOCKS",506,"14",1
"5212","MALKANGIRI","Swan for meat","OTHER LIVESTOCKS",507,"14",1
"5213","MALKANGIRI","sale of wild fish(chigudi,kalipati,kapdu,moya)","FISHING/AQUACULTURE",601,"14",1
"5214","MALKANGIRI","sale of cultivated fish(american carp,grass carp,silver carp,telapia)","FISHING/AQUACULTURE",602,"14",1
"5216","MALKANGIRI","stone business","HOME PRODUCTION(SMALL-SCALE PROCESSING)",702,"14",1
"5218","MALKANGIRI","mahua(local drink)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",704,"14",1
"5219","MALKANGIRI","brick making","HOME PRODUCTION(SMALL-SCALE PROCESSING)",705,"14",1
"5220","MALKANGIRI","Solopo(local drink)","TRADE/BUSINESS/SERVICES",801,"14",1
"5227","MALKANGIRI","consumer goods(Grocery shop)","TRADE/BUSINESS/SERVICES",808,"14",1
"5230","MALKANGIRI","Rice mill","TRADE/BUSINESS/SERVICES",811,"14",1
"5241","MALKANGIRI","Tendu leaf","NTFP COLLECTION",909,"14",1
"5242","MALKANGIRI","mushroom","NTFP COLLECTION",910,"14",1
"5243","MALKANGIRI","mahua fruit from forest","NTFP COLLECTION",911,"14",1
"5245","MALKANGIRI","govt salaried job(Anganwadi helper,anganbadi karmi,army personnel, asha didi,clerk in malkangiri  college, peon in panchayat office, police, post master, peon in tahesildaar office,teacher,watchman)","SALARIED JOB",1002,"14",1
"5246","MALKANGIRI","private salaried job(mechanic at company, mechanical engineer, paper mill supervisor)","SALARIED JOB",1003,"14",1
"5247","MALKANGIRI","social security pension(disabled pension, old age pension, widow pension)","PENSION / REMITTANCES",1101,"14",1
"5248","MALKANGIRI","local agriculture labor","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"14",1
"5249","MALKANGIRI","local skilled labor(carpenter, blacksmith,pottery,mistri,driver, painter,)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"14",1
"5250","MALKANGIRI","local unskilled labor(construction labor,nrega labor,plumber)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"14",1
"5253","MALKANGIRI","migratory unkilled labor(construction labor, labor in factory)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"14",1
"5255","PALAMU","Paddy","AGRICULTURE",102,"14",1
"5256","PALAMU","Wheat","AGRICULTURE",103,"14",1
"5260","PALAMU","Pulses(Gram,Masuri,Tur,Kurthi,Khesari)","AGRICULTURE",107,"14",1
"5261","PALAMU","Lentil","AGRICULTURE",108,"14",1
"5264","PALAMU","mustard","AGRICULTURE",111,"14",1
"5266","PALAMU","sesame","AGRICULTURE",113,"14",1
"5267","PALAMU","Tisi","AGRICULTURE",114,"14",1
"5270","PALAMU","Mahua fruit (private sources)","TREE BASED LIVELIHOOD",203,"14",1
"5272","PALAMU","Goat ","SHEEP/GOAT REARING",301,"14",1
"5273","PALAMU","Dairy cattle(Buffalo milk,Cow Milk)","DAIRY CATTLE",401,"14",1
"5274","PALAMU","Cow ","OTHER LIVESTOCKS",501,"14",1
"5275","PALAMU","Ox ","OTHER LIVESTOCKS",502,"14",1
"5276","PALAMU","Buffalo ","OTHER LIVESTOCKS",503,"14",1
"5280","PALAMU","Pig ","OTHER LIVESTOCKS",507,"14",1
"5291","PALAMU","Private Clinic","TRADE/BUSINESS/SERVICES",805,"14",1
"5297","PALAMU","Tari  juice (local drink)","TRADE/BUSINESS/SERVICES",811,"14",1
"5311","PALAMU","Govt  Salaried job(Block Development officer,Jharkhand police,Para teacher,College professor,govt teacher,Railway dept(Group D),Army Police, Border secruty force, Bihar Police force.Anganwari sewika)","SALARIED JOB",1001,"14",1
"5312","PALAMU","Private salaried Job(Driver ,Civil  engineer)","SALARIED JOB",1002,"14",1
"5314","PALAMU","Social secruty Pension(disabled pension,old age Pension,Widow Pension )","PENSION / REMITTANCES",1101,"14",1
"5316","PALAMU","local skilled labor (barhi,mistri, rajmistri,sculpture)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"14",1
"5317","PALAMU","local unskilled labor (stone works, soil related labor,NREGA )","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"14",1
"5320","PALAMU","migratory unskilled labor(building construction, bridge construction, works in cressor) ","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"14",1
"5321","BANKURA","Potato","AGRICULTURE",107,"14",1
"5323","BANKURA","Tisi (oil seed)","AGRICULTURE",109,"14",1
"5325","BANKURA","Jackfruit","TREE BASED LIVELIHOOD",201,"14",1
"5328","BANKURA","sale of tree","TREE BASED LIVELIHOOD",204,"14",1
"5330","BANKURA","Sheep ","SHEEP/GOAT REARING",301,"14",1
"5331","BANKURA","Goat ","SHEEP/GOAT REARING",302,"14",1
"5333","BANKURA","Bullock ","OTHER LIVESTOCKS",501,"14",1
"5335","BANKURA","Duck (Egg and meat)","OTHER LIVESTOCKS",503,"14",1
"5336","BANKURA","Hen (Egg and meat)","OTHER LIVESTOCKS",504,"14",1
"5349","BANKURA","sale of kerosene (from PDS)","TRADE/BUSINESS/SERVICES",805,"14",1
"5371","BANKURA","local agriculture labour (Harvesting & Sowing)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"14",1
"5373","BANKURA","local unskilled labor(NREGA,Roof maker,Helper)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"14",1
"5374","BANKURA","migratory agriculture labor(sowing and harvesting of paddy)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1301,"14",1
"5375","BANKURA","migratory skilled labor(rajmistri, Circus,woodcutter,Electrical work, Spring Factory,Cressor,Ceramics artist)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1302,"14",1
"5376","BANKURA","migratory unskilled labor(labor for soil works,road/bridge/building construction,stone chipping, labor in hotel, worker in wholesale shop,labor in mill,helper with truck/bus,power plant,R.N factory)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"14",1
"5377","KACHCHH","Wheat","AGRICULTURE",101,"15",1
"5378","KACHCHH","Cotton","AGRICULTURE",102,"15",1
"5379","KACHCHH"," Sesame ","AGRICULTURE",103,"15",1
"5380","KACHCHH","Pulses (Mug, Math)","AGRICULTURE",104,"15",1
"5381","KACHCHH"," Sovin","AGRICULTURE",105,"15",1
"5382","KACHCHH"," Mustard","AGRICULTURE",106,"15",1
"5383","KACHCHH"," Castor","AGRICULTURE",107,"15",1
"5384","KACHCHH"," Groundnut","AGRICULTURE",108,"15",1
"5387","KACHCHH","Isabgol","AGRICULTURE",111,"15",1
"5388","KACHCHH"," vegetable (okra,brinjal,chilli,bottle gourd,cucumber,tomato,cabbage)","AGRICULTURE",112,"15",1
"5391","KACHCHH","pomergranate","TREE BASED LIVELIHOOD",201,"15",1
"5392","KACHCHH"," Apple Bor","TREE BASED LIVELIHOOD",202,"15",1
"5393","KACHCHH"," pappaya(Papita)","TREE BASED LIVELIHOOD",203,"15",1
"5394","KACHCHH","Sheep","SHEEP/GOAT REARING",301,"15",1
"5395","KACHCHH","Goat","SHEEP/GOAT REARING",302,"15",1
"5396","KACHCHH","milk from cow","DAIRY CATTLE",401,"15",1
"5397","KACHCHH","milk from buffalo","DAIRY CATTLE",402,"15",1
"5400","KACHCHH","charcoal production","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"15",1
"5407","KACHCHH","consumer goods (Ration Shop)","TRADE/BUSINESS/SERVICES",807,"15",1
"5408","KACHCHH","sale of pipe used for drip irrigation","TRADE/BUSINESS/SERVICES",808,"15",1
"5411","KACHCHH","sale of wild honey ","NTFP COLLECTION",901,"15",1
"5413","KACHCHH","Govt salaried job ( police,pwd,teacher,postman,aganvadiworker,aganvadi helper,elec tric board,state transport,b s f,Railway Police,Coast guard,Indian Army)","SALARIED JOB",1002,"15",1
"5414","KACHCHH","Govt/Pvt retirement pension ","SALARIED JOB",1003,"15",1
"5415","KACHCHH","social security pension (Window pension)","PENSION / REMITTANCES",1101,"15",1
"5416","KACHCHH","local Agriculture Labor","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"15",1
"5417","KACHCHH","local skilled labor(Mason, carpenter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"15",1
"5422","DEVAS"," paddy ","AGRICULTURE",101,"15",1
"5423","DEVAS","Wheat","AGRICULTURE",102,"15",1
"5424","DEVAS","pluses( Chawla,Urad,Moong)","AGRICULTURE",103,"15",1
"5425","DEVAS","Tilli","AGRICULTURE",104,"15",1
"5426","DEVAS","groundnut","AGRICULTURE",105,"15",1
"5427","DEVAS","chillies","AGRICULTURE",106,"15",1
"5428","DEVAS","jowar","AGRICULTURE",107,"15",1
"5429","DEVAS","maize","AGRICULTURE",108,"15",1
"5430","DEVAS","cotton","AGRICULTURE",109,"15",1
"5431","DEVAS","Soyabean","AGRICULTURE",110,"15",1
"5432","DEVAS","onion","AGRICULTURE",111,"15",1
"5433","DEVAS","potato","AGRICULTURE",112,"15",1
"5434","DEVAS","vegetable sale(garlic,gobi,batla,bitter gourd,balr,coriander,gawarfali,tumadi,chavlafali,fenugreek,raddish,carrot,spinach,tomato,surjnafali,giki,okra)","AGRICULTURE",113,"15",1
"5435","DEVAS"," goat ","SHEEP/GOAT REARING",301,"15",1
"5436","DEVAS","goat (for meat)","SHEEP/GOAT REARING",302,"15",1
"5437","DEVAS","Dairy milk (from cow and buffalo) ","DAIRY CATTLE",401,"15",1
"5438","DEVAS","hen ","OTHER LIVESTOCKS",501,"15",1
"5439","DEVAS","bullocks","OTHER LIVESTOCKS",502,"15",1
"5448","DEVAS","Gobar khad (sale of cowdung )","HOME PRODUCTION(SMALL-SCALE PROCESSING)",707,"15",1
"5449","DEVAS","Consumer goods (grocery store,flour mill)","TRADE/BUSINESS/SERVICES",801,"15",1
"5451","DEVAS","Kamkaji Lakadi (sale of small timber)","TRADE/BUSINESS/SERVICES",803,"15",1
"5452","DEVAS","construction contractor","TRADE/BUSINESS/SERVICES",804,"15",1
"5459","DEVAS","Mahua fruit","NTFP COLLECTION",904,"15",1
"5460","DEVAS","Government Salaried job(Choukidar,Aanganwadi Teacher,Forest Guard,M.P. police,School Teacher,Army,Patwari ","SALARIED JOB",1001,"15",1
"5461","DEVAS","Private salaried job(doctor, truck driver)","SALARIED JOB",1002,"15",1
"5463","DEVAS","Social Security Pension(widow pension,old age pension)","PENSION / REMITTANCES",1101,"15",1
"5464","DEVAS","local agricultural labor (Hal chalana, bakhakhar chalana, kud-kachra saaf karna, buwai karna, nindai karna, dore chalana, dawai chhidkaw,pani chalana,faslo ki katai,kapas ki bunai, udhara(group agri labor))","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"15",1
"5465","DEVAS","Bandhua mazdoor(bonded labor)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"15",1
"5466","DEVAS","local unskilled labor(saja-munafa,podha ropan, med bandi,Tendu-Patta)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"15",1
"5467","DEVAS","local skilled labor(  carpenter,mistri, woodcutter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1204,"15",1
"5470","DEVAS","migratory unskilled labor (labor in company)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"15",1
"5471","KHANDWA"," Jowar","AGRICULTURE",101,"15",1
"5472","KHANDWA","Maize","AGRICULTURE",102,"15",1
"5473","KHANDWA"," Paddy ","AGRICULTURE",103,"15",1
"5474","KHANDWA"," Wheat ","AGRICULTURE",104,"15",1
"5475","KHANDWA"," Pulses ( Chana,Chawala, Masoor, Mung,Tuwar, Urad)","AGRICULTURE",105,"15",1
"5476","KHANDWA"," vegetable(ballar, brinjal, okra,giki,pumpkin,fenugreek,spinach,tomato,chillies,bottlegourd,raddish,carrot)","AGRICULTURE",106,"15",1
"5477","KHANDWA"," Cotton","AGRICULTURE",107,"15",1
"5478","KHANDWA"," Mugfali","AGRICULTURE",108,"15",1
"5479","KHANDWA"," Soyabean ","AGRICULTURE",109,"15",1
"5480","KHANDWA","Sugarcane","AGRICULTURE",110,"15",1
"5481","KHANDWA","Silk  Production","AGRICULTURE",111,"15",1
"5483","KHANDWA"," Mahuwa flower","TREE BASED LIVELIHOOD",202,"15",1
"5484","KHANDWA"," goat","SHEEP/GOAT REARING",301,"15",1
"5485","KHANDWA","Dairy (cow milk,buffalo milk)","DAIRY CATTLE",401,"15",1
"5486","KHANDWA"," bullocks","OTHER LIVESTOCKS",501,"15",1
"5487","KHANDWA"," hen","OTHER LIVESTOCKS",502,"15",1
"5490","KHANDWA","mahua liquor","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"15",1
"5492","KHANDWA","Consumer goods (cloth shop,flourmill,grocery store(kirana shop),fertilizer shop  ,multi hardware shop,medical shop,pesticide shop,xerox shop,electronic shop, petrol pump)","TRADE/BUSINESS/SERVICES",801,"15",1
"5493","KHANDWA","Charwaha(shepherd)","TRADE/BUSINESS/SERVICES",802,"15",1
"5494","KHANDWA","blacksmith","TRADE/BUSINESS/SERVICES",803,"15",1
"5495","KHANDWA","scrap dealer (kabad dukan)","TRADE/BUSINESS/SERVICES",804,"15",1
"5496","KHANDWA","stitching ","TRADE/BUSINESS/SERVICES",805,"15",1
"5508","KHANDWA","Government Salaried job(ASHA worker,Rojgar Sahayak,Post men, Police (Constable ),Teacher ( primary School,middle school,secondary school),Panchayat Sachiv,Army personnel,Forest Guard,Aganwadi Worker,peon in collectorate, siksha karmi,Govt . Peon,govt water supplyer,Peon  in Govt . Agriculture  dept)","SALARIED JOB",1001,"15",1
"5509","KHANDWA","Private salaried job (Bus Conductor ,Development officer in NGO,Paraworker,private school teacher,driver )","SALARIED JOB",1002,"15",1
"5510","KHANDWA","Govt./Private retirement pension ","SALARIED JOB",1003,"15",1
"5511","KHANDWA","social securty pension (Handicap, widow, Old age ) ","PENSION / REMITTANCES",1101,"15",1
"5512","KHANDWA","local agriculture labor (sugarcane,soyabean and wheat harvesting)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"15",1
"5513","KHANDWA","local skilled labor (Mason, Carpenter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"15",1
"5514","KHANDWA","local unskilled labor (NREGA labor,labor for collecting tendu leaves)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"15",1
"5515","KHANDWA","migration for agriculture labor( wheat,soyabean and sugarcane harvesting)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1301,"15",1
"5517","KHANDWA","migration for unskilled labor(construction site,Labor in private Company)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"15",1
"5518","MAHBUBNAGAR","rice ","AGRICULTURE",101,"15",1
"5519","MAHBUBNAGAR","sorghum","AGRICULTURE",102,"15",1
"5520","MAHBUBNAGAR","cotton","AGRICULTURE",103,"15",1
"5521","MAHBUBNAGAR","pulses(blackgram,greengram,redgram,bengalgram,horsegram)","AGRICULTURE",104,"15",1
"5522","MAHBUBNAGAR","ground nut","AGRICULTURE",105,"15",1
"5525","MAHBUBNAGAR","sesame ","AGRICULTURE",108,"15",1
"5527","MAHBUBNAGAR","sajja(type of sorghum)","AGRICULTURE",110,"15",1
"5529","MAHBUBNAGAR","vegetable(tomato,brinjal,onion,okra,chilli,bittergourd,sorakaya(type of brinjal),keera,beera(type of bitter gourd),potato,fenugreek,spinach and coriander)","AGRICULTURE",112,"15",1
"5530","MAHBUBNAGAR","guava","TREE BASED LIVELIHOOD",201,"15",1
"5531","MAHBUBNAGAR","sapota (type of apple)","TREE BASED LIVELIHOOD",202,"15",1
"5532","MAHBUBNAGAR","orange orchard  (owner)","TREE BASED LIVELIHOOD",203,"15",1
"5533","MAHBUBNAGAR","custerd apple","TREE BASED LIVELIHOOD",204,"15",1
"5535","MAHBUBNAGAR","mango orchard  (owner)","TREE BASED LIVELIHOOD",206,"15",1
"5536","MAHBUBNAGAR","lemon","TREE BASED LIVELIHOOD",207,"15",1
"5538","MAHBUBNAGAR","goat for meat","SHEEP/GOAT REARING",301,"15",1
"5539","MAHBUBNAGAR","sheep for meat","SHEEP/GOAT REARING",302,"15",1
"5540","MAHBUBNAGAR","cow for milk","DAIRY CATTLE",401,"15",1
"5541","MAHBUBNAGAR","bullocks","DAIRY CATTLE",402,"15",1
